,reln_id,reln_type,startNode,endNode,reln_prop_id,reln_contrast_id,reln_task_id,reln_disorder
112,69799,HASCITATION,23655,30425,,,,
113,53498,HASINDICATOR,23655,30251,ind_4b4a53bb75cdf,,,
114,53497,HASINDICATOR,23655,30089,ind_4b4a53b7d0b3b,,,
115,51039,INBATTERY,23655,29767,,,,
116,50924,KINDOF,23655,24358,,,,
117,48059,ASSERTS,23655,25481,,,,
118,48058,ASSERTS,23655,25656,,,,
119,42595,ASSERTS,23655,25521,,,,
120,40629,HASCONTRAST,23655,25884,,,,
121,40628,HASCONTRAST,23655,25883,,,,
122,39966,HASCONDITION,23655,24389,,,,
123,39965,HASCONDITION,23655,24388,,,,
124,70241,HASCITATION,23656,30890,,,,
125,70240,HASCITATION,23656,30889,,,,
126,53504,HASINDICATOR,23656,30251,ind_4b65e64f7cb9e,,,
127,53503,HASINDICATOR,23656,30089,ind_4b65e6421e68e,,,
128,44608,ASSERTS,23656,25556,,,,
129,44603,ASSERTS,23656,25443,,,,
130,41039,HASCONTRAST,23656,26295,,,,
131,41038,HASCONTRAST,23656,26294,,,,
132,40638,HASCONTRAST,23656,25893,,,,
133,40637,HASCONTRAST,23656,25892,,,,
134,39973,HASCONDITION,23656,24396,,,,
135,39972,HASCONDITION,23656,24395,,,,
136,70701,HASCITATION,23657,31352,,,,
137,70700,HASCITATION,23657,31351,,,,
138,69891,HASCITATION,23657,30534,,,,
139,69890,HASCITATION,23657,30533,,,,
140,69889,HASCITATION,23657,30532,,,,
141,53553,HASINDICATOR,23657,30089,ind_4de6812cb5176,,,
142,53512,HASINDICATOR,23657,30303,ind_4b82d2c1e90c7,,,
143,51052,INBATTERY,23657,29755,,,,
144,42332,KINDOF,23657,23833,,,,
145,42210,ASSERTS,23657,25603,,,,
146,40651,HASCONTRAST,23657,25906,,,,
147,40650,HASCONTRAST,23657,25905,,,,
148,69963,HASCITATION,23658,30605,,,,
149,69962,HASCITATION,23658,30604,,,,
150,53506,HASINDICATOR,23658,30173,ind_4b749f8a619a1,,,
151,53505,HASINDICATOR,23658,30174,ind_4b749f5f3ee65,,,
152,42884,ASSERTS,23658,25509,,,,
153,42875,ASSERTS,23658,25330,,,,
154,42201,ASSERTS,23658,25603,,,,
