,node_id,name
209,30292,"sum of scores on all six questions (0â2 = very low dependence, 3â4 = low dependence, 5 = medium dependence, 6â7 = high dependence, and 8â10 = very high dependence)"
210,30293,sum of words recalled on multiple trials
211,30294,switch cost
212,30295,T-score
213,30296,tap interval
214,30297,tap interval divided by target/modeled interval
215,30298,taps per 10s trial
216,30299,theta score
217,30300,Threat
218,30301,time
219,30302,time spent observing novel objects
220,30303,time to complete
221,30304,time to complete task
222,30305,tone span
223,30306,type of encoding task
224,30307,unresolved
225,30308,Vector (accuracy x response time)
226,30309,ventral frontostriatal brain activation
227,30310,Verbal IQ
228,30311,Visual Memory Index
229,30312,Visual Working Memory Index
230,30313,volume of liquid drunk
231,30314,volume or composition of urine
232,30315,weight of food eaten
233,30316,z-score
